#,LABEL analytical,local/regional cultural attribution (can vary a lot!),absolute period,Site,Easting - Longitude,Northing-Latitude,Type of site/context,Region,Country,Artefact type,O,Sb,Sn,Cd,Pd,Ag,Ru,Mo,Nb,Zr,Bi,Pb,Se,As,Au,W,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Al,S,Cl,P,Si,Mg,Analytical technique,Corrosion products,
139,SEALIP/MY/HL28/18,Early Iron Age,500 - 100 BC,Halin, 95.799608,22.455975,cemetery,Sagaing Division,Myanmar,small bell/rattle,nd,nd,6.2000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,80.1000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.6000,nd,SEM-EDS,,
140,SEALIP/MY/HL29/1,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,pseudo spearhead,nd,nd,1.5000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,97.8000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,SEM-EDS,,
141,SEALIP/MY/HL29/2,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,pseudo spearhead,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0790,nd,0.0350,nd,nd,nd,96.6990,nd,nd,1.6980,nd,nd,nd,nd,nd,0.2080,nd,nd,1.2790,nd,pXRF,,
142,SEALIP/MY/HL29/3,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,pseudo spearhead,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0790,nd,0.0240,nd,nd,nd,99.4737,nd,nd,0.4920,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
143,SEALIP/MY/HL29/4,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,axe,20.2367,nd,5.4267,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,63.6233,nd,nd,nd,nd,nd,nd,nd,nd,nd,10.5967,nd,0.1167,nd,SEM-EDS,corroded,
144,SEALIP/MY/HL29/5,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,axe,50.2100,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,7.3467,nd,nd,5.2533,nd,nd,nd,nd,8.0867,nd,0.4933,nd,22.5567,2.2267,SEM-EDS,Corroded,
145,SEALIP/MY/HL29/6,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,asymmetric curved axe,nd,nd,11.4207,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,88.1127,0.0247,nd,0.0177,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
146,SEALIP/MY/HL29/7,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,spearhead,nd,nd,15.9147,nd,nd,nd,nd,nd,nd,nd,nd,0.6023,nd,nd,nd,nd,nd,82.8743,nd,nd,nd,nd,0.0903,0.0230,0.1163,nd,nd,nd,nd,nd,nd,pXRF,,
147,SEALIP/MY/HL29/8,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,spearhead,nd,nd,5.2073,nd,nd,nd,nd,nd,nd,0.0673,nd,0.3953,nd,nd,nd,nd,nd,91.4887,nd,nd,1.6103,nd,0.1397,0.0933,0.2710,nd,nd,nd,nd,nd,nd,pXRF,,
148,SEALIP/MY/HL29-1/1,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,bangle,nd,nd,10.8057,0.0623,nd,nd,nd,nd,nd,nd,nd,0.3613,nd,0.0647,nd,nd,0.2613,87.1210,nd,nd,0.9713,nd,nd,nd,nd,nd,nd,nd,nd,0.3363,nd,pXRF,,
149,SEALIP/MY/HL29-1/2,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,bangle,nd,nd,9.7890,nd,nd,nd,nd,nd,nd,nd,0.0047,0.2193,nd,0.0643,nd,nd,0.1383,87.0593,nd,nd,2.3387,nd,nd,nd,nd,nd,0.1450,nd,nd,0.2267,nd,pXRF,,
150,SEALIP/MY/HL29-1/3,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,bangle,nd,nd,8.5707,nd,nd,nd,nd,nd,nd,nd,0.0140,0.1363,nd,0.1077,nd,nd,0.1207,90.8603,nd,nd,0.0813,nd,nd,nd,nd,nd,nd,nd,nd,0.1280,nd,pXRF,,
151,SEALIP/MY/HL29-1/4,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,bangle (double line),nd,nd,6.8567,nd,nd,nd,nd,0.0060,nd,nd,nd,0.3010,nd,0.0587,nd,nd,0.3560,86.4193,nd,0.0265,4.3170,nd,nd,nd,nd,nd,nd,nd,nd,1.6653,nd,pXRF,,
152,SEALIP/MY/HL29-1/5,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,axe,16.4133,nd,6.4667,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,73.2733,nd,nd,nd,nd,nd,nd,nd,0.0533,1.2000,0.8667,1.1350,0.9767,nd,SEM-EDS,corroded,
153,SEALIP/MY/HL29-1/6,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,flat ring,nd,nd,1.9697,nd,nd,nd,nd,0.0100,nd,nd,nd,0.0937,nd,nd,nd,nd,0.0685,97.8720,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
154,SEALIP/MY/HL29-1/7,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,spiral square section ring,nd,nd,5.7530,nd,nd,nd,nd,nd,nd,nd,0.0457,0.0607,nd,0.1097,nd,nd,0.0527,93.8733,nd,nd,0.1040,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
155,SEALIP/MY/HL29-1/8,Mid Bronze Age,800-700 BC,Halin, 95.806511, 22.457735,cemetery,Sagaing Division,Myanmar,ring,nd,0.1157,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.5240,nd,nd,nd,nd,nd,96.3750,nd,nd,0.1357,nd,0.1370,0.0493,0.0223,nd,nd,nd,nd,nd,nd,pXRF,,
156,SEALIP/MY/HL30-1/1,Mid Bronze Age,800-700 BC,Halin, 95.805538, 22.455223,cemetery,Sagaing Division,Myanmar,ring,nd,nd,9.5230,nd,nd,nd,nd,nd,nd,nd,nd,0.2303,nd,nd,nd,nd,nd,89.2913,nd,nd,0.6320,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
157,SEALIP/MY/HLTP1/1,Bagan,AD 1000-1200,Halin, 95.801888, 22.444580,settlement,Sagaing Division,Myanmar,platy fragment,nd,1.5247,29.3010,nd,nd,nd,nd,nd,nd,nd,nd,0.0660,nd,nd,nd,nd,nd,67.5633,nd,nd,0.7883,nd,nd,nd,0.2180,nd,nd,nd,nd,nd,nd,pXRF,,
158,SEALIP/MY/HLTP1/2,Bagan,AD 1000-1200,Halin, 95.801888, 22.444580,settlement,Sagaing Division,Myanmar,ring fragment,nd,0.4143,nd,nd,nd,nd,nd,nd,nd,0.0060,0.1400,1.3543,nd,nd,nd,nd,0.0560,97.0987,nd,nd,0.1000,nd,0.0637,0.0323,nd,nd,nd,nd,nd,nd,nd,pXRF,,
159,SEALIP/MY/HTP/1,Iron Age,500 BC - AD 100,Htan Ta Bin, 95.996184, 20.591653,Mandalay museum,Mandalay Division,Myanmar,bowl fragment,nd,nd,8.9320,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,89.4220,nd,nd,nd,nd,nd,nd,nd,nd,0.1400,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
160,SEALIP/MY/KGG/1,Early Iron Age,500 - 100 BC,Kan Gyi Gon, 95.809166, 20.791384,cemetery,Magway Division,Myanmar,wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,99.5475,0.0610,nd,0.3170,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,,
161,SEALIP/MY/LPDT/1,modern,AD 2015,Letpadaungtaung mine,95.096884,22.082657,modern Cu mine,Sagaing Division,Myanmar,"modern copper ingot, Monywa",nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,100.0000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,,
162,SEALIP/MY/MH/1,Early Iron Age,500 - 100 BC,Myo Hla,96.266894,19.403929,cemetery,Bago Division,Myanmar,vase,nd,nd,13.1000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,74.1000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Rennes SEM-EDS,,
163,SEALIP/MY/MHT/1,Bronze Age,1000 - 500 BC,Mon Htoo, 95.226852, 22.340746,villagers' collections,Sagaing Division,Myanmar,fragment,nd,nd,23.3000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,60.1000,nd,nd,nd,nd,nd,nd,nd,nd,0.1000,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
164,SEALIP/MY/MHT/2,Bronze Age,1000 - 500 BC,Mon Htoo, 95.226852, 22.340746,villagers' collections,Sagaing Division,Myanmar,platy fragment,nd,nd,22.4000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,68.9000,nd,nd,nd,nd,nd,nd,nd,nd,0.2000,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
165,SEALIP/MY/MHT/3,Bronze Age,1000 - 500 BC,Mon Htoo, 95.226852, 22.340746,villagers' collections,Sagaing Division,Myanmar,ring frag,nd,nd,7.7000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,88.5000,nd,nd,nd,nd,nd,nd,nd,nd,0.2000,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
166,SEALIP/MY/MLW/1,Mid Iron Age,300 - 100 BC,Maliwan, 98.623468, 10.324234,,Thanintharyi Division,Myanmar,,nd,0.0607,7.5870,nd,nd,nd,nd,nd,nd,0.0043,0.1163,13.4473,nd,0.4880,nd,nd,nd,78.1490,0.0563,nd,nd,nd,nd,nd,0.0853,nd,nd,nd,nd,nd,nd,pXRF,,
167,SEALIP/MY/MLW/2,Mid Iron Age,300 - 100 BC,Maliwan, 98.623468, 10.324234,,Thanintharyi Division,Myanmar,,nd,0.6620,19.3923,nd,nd,nd,nd,nd,nd,nd,0.1243,3.5323,nd,0.5767,0.0270,nd,nd,74.9777,0.1133,0.0900,0.4330,nd,nd,nd,0.1430,nd,nd,nd,nd,nd,nd,pXRF,,
168,SEALIP/MY/MLW/3,Mid Iron Age,300 - 100 BC,Maliwan, 98.623468, 10.324234,,Thanintharyi Division,Myanmar,,nd,nd,0.0513,nd,nd,nd,nd,nd,nd,0.0030,0.6907,0.0250,nd,0.0150,nd,nd,nd,98.3530,nd,nd,0.0523,nd,nd,nd,nd,nd,0.7853,nd,nd,nd,nd,pXRF,,
169,SEALIP/MY/MOH/1,Iron Age,500 - 100 BC,Myin Oo Hle, 95.538034, 21.119677,Yangon University Museum,Mandalay Division,Myanmar,bell fragment,nd,nd,6.4000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,90.1000,nd,nd,1.2000,nd,nd,nd,nd,nd,0.5000,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
170,SEALIP/MY/MT/1,Iron Age,500 - 100 BC,Myinthe, 95.876616, 21.789439,U Soe Naing collection,Mandalay Division,Myanmar,spearhead fragment,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,98.7000,nd,nd,0.1000,nd,nd,nd,nd,nd,0.5000,nd,nd,0.2000,nd,UCL Qatar SEM-EDS,,
171,SEALIP/MY/NGO/1,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,99.7240,nd,nd,0.1500,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,,
172,SEALIP/MY/NGO/10,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,99.7605,nd,nd,0.1360,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,,
173,SEALIP/MY/NGO/2,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0575,nd,nd,nd,nd,nd,99.3085,nd,nd,0.5570,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,,
174,SEALIP/MY/NGO/3,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,99.6840,nd,nd,0.2280,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,,
175,SEALIP/MY/NGO/4,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,nd,nd,0.0690,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,99.6275,nd,nd,0.1785,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,,
176,SEALIP/MY/NGO/5,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,99.5535,nd,nd,0.3390,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,,
177,SEALIP/MY/NGO/6,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.1305,nd,nd,nd,nd,nd,99.3250,nd,nd,0.4270,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,,
178,SEALIP/MY/NGO/7,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,99.2745,nd,nd,0.5760,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,,
179,SEALIP/MY/NGO/8,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,99.6145,nd,nd,0.2235,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,,
180,SEALIP/MY/NGO/9,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0945,nd,nd,nd,nd,nd,98.6995,0.0705,nd,0.9955,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,,
181,SEALIP/MY/NGO/10,Early Iron Age,500 - 100 BC,Nyaung Gon, 95.059942, 22.411151,cemetery,Mandalay Division,Myanmar,wire bundle,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,99.7605,nd,nd,0.1360,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,,
182,SEALIP/MY/NYG/1,Early Bronze Age,1000 - 800 BC,Nyaung'gan, 95.059942, 22.411151,cemetery,Sagaing Division,Myanmar,arrow/spear head,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,24.5000,nd,nd,nd,nd,nd,77.5320,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
183,SEALIP/MY/OAI/1,Early-Mid Bronze Age,1000 - 700 BC,"""Oakaie""", 95.051987, 22.403892,Yangon University Museum,Sagaing Division,Myanmar,circular fragment,nd,2.1000,4.5000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.7467,nd,nd,nd,92.8000,nd,nd,nd,nd,nd,nd,nd,nd,0.0600,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
184,SEALIP/MY/OAI/2,Early-Mid Bronze Age,1000 - 700 BC,"""Oakaie""", 95.051987, 22.403892,Yangon University Museum,Sagaing Division,Myanmar,platy fragments,nd,nd,15.9300,nd,nd,nd,nd,nd,nd,nd,nd,1.2940,nd,nd,nd,nd,nd,52.3400,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
185,SEALIP/MY/OAI1/1,Early Bronze Age,1000 - 800 BC,Oakaie 1,95.049182, 22.390086,cemetery,Sagaing Division,Myanmar,axe,nd,nd,3.7000,nd,nd,0.0520,nd,nd,nd,nd,nd,0.1100,nd,0.0500,nd,nd,nd,95.0000,0.0600,0.5200,0.2900,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim XRF,,
186,SEALIP/MY/OAI2/1,Early Bronze Age,1000 - 800 BC,Oakaie 2, 95.041954, 22.390500,settlement,Sagaing Division,Myanmar,rod,nd,nd,3.3300,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,94.7740,nd,nd,nd,nd,nd,nd,nd,nd,0.1300,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
187,SEALIP/MY/OAI3/2,Early Bronze Age,1000 - 800 BC,Oakaie 3, 95.040290,22.389254,settlement/industry,Sagaing Division,Myanmar,bracelet frag,nd,nd,6.0750,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,92.8975,nd,nd,0.2075,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
188,SEALIP/MY/OAI3/3,Early Bronze Age,1000 - 800 BC,Oakaie 3, 95.040290,22.389254,settlement/industry,Sagaing Division,Myanmar,ring frag,nd,nd,11.9500,nd,nd,nd,nd,nd,nd,nd,0.3580,nd,nd,0.9180,nd,nd,nd,65.3400,nd,nd,0.1450,nd,nd,nd,nd,nd,0.2440,nd,0.3900,0.1880,nd,UCL Qatar SEM-EDS,,
189,SEALIP/MY/OAI3/4,Early Bronze Age,1000 - 800 BC,Oakaie 3, 95.040290,22.389254,settlement/industry,Sagaing Division,Myanmar,bracelet frag,nd,nd,15.4900,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,52.8640,nd,nd,0.2400,nd,nd,nd,nd,nd,0.1140,nd,0.2480,1.2800,nd,UCL Qatar SEM-EDS,,
190,SEALIP/MY/OAI3/5,Early Bronze Age,1000 - 800 BC,Oakaie 3, 95.040290,22.389254,settlement/industry,Sagaing Division,Myanmar,bracelet frag,nd,nd,0.1140,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,97.7820,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
191,SEALIP/MY/OAI3/6,Early Bronze Age,1000 - 800 BC,Oakaie 3, 95.040290,22.389254,settlement/industry,Sagaing Division,Myanmar,ring frag,nd,nd,7.8340,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,90.2040,nd,nd,nd,nd,nd,nd,nd,nd,0.6120,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
192,SEALIP/MY/OAI3/7,Early Bronze Age,1000 - 800 BC,Oakaie 3, 95.040290,22.389254,settlement/industry,Sagaing Division,Myanmar,"platy fragment, small cutting tool",nd,nd,14.0040,nd,nd,nd,nd,nd,nd,nd,nd,0.4120,nd,nd,nd,nd,nd,62.7820,nd,nd,0.1540,nd,nd,nd,nd,nd,0.0960,nd,0.3440,0.4000,nd,UCL Qatar SEM-EDS,,
193,SEALIP/MY/SP/1,Late Iron Age (Myanmar),AD 0 - 100,Supan,96.114377, 21.156425,U Soe Naing collection,Mandalay Division,Myanmar,bowl fragment,nd,nd,22.9000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,71.5000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,UCL Qatar SEM-EDS,,
194,SEALIP/MY/YGG/1,Iron Age,500 BC - AD 100,Ywa Gon Gyi,96.006475,20.963181,cemetery,Mandalay Division,Myanmar,fragment,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.1000,nd,nd,0.1000,98.0000,0.1000,nd,1.4000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Rennes ICP-AES,,
196,SEALIP/PH/IDL/1,,1 st millenium AD,Idulot Cave, 119.29561,11.11554,,Palawan,Phillippines,bangle,nd,nd,0.0937,nd,nd,nd,nd,nd,0.0083,nd,nd,0.7277,nd,nd,nd,nd,24.5000,73.3717,0.0177,nd,0.2197,nd,nd,0.0187,nd,nd,nd,nd,nd,nd,nd,pXRF,,
197,SEALIP/PH/IDL/2,,1 st millenium AD,Idulot Cave, 119.29561,11.11554,,Palawan,Phillippines,decorated flat fragment,nd,nd,16.8550,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,82.6467,nd,nd,nd,nd,0.0827,nd,0.0983,nd,nd,nd,nd,nd,nd,pXRF,,
198,SEALIP/PH/ILL/1,,1 st millenium BC - 1 st millenium AD,Ille Cave,119.3019,11.1146,,Palawan,Phillippines,socketed axe,nd,nd,12.7250,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,86.6103,nd,nd,nd,nd,0.0683,0.0130,0.1143,nd,nd,nd,nd,nd,nd,pXRF,,
199,SEALIP/PH/ILL/2,,1 st millenium BC - 1 st millenium AD,Ille Cave,119.3019,11.1146,,Palawan,Phillippines,ring,nd,nd,nd,nd,nd,nd,nd,0.0057,0.0063,nd,nd,11.2460,nd,nd,nd,5.4137,38.6440,43.2820,0.0620,nd,1.0113,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
200,SEALIP/PH/ILL/3,,1 st millenium BC - 1 st millenium AD,Ille Cave,119.3019,11.1146,,Palawan,Phillippines,bell,nd,nd,21.3000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,78.1423,nd,nd,nd,nd,0.0617,0.0227,0.1270,nd,nd,nd,nd,nd,nd,pXRF,,
201,SEALIP/PH/ILL/4,,1 st millenium BC - 1 st millenium AD,Ille Cave,119.3019,11.1146,,Palawan,Phillippines,L-section fragment,nd,nd,21.9560,nd,nd,nd,nd,nd,nd,nd,nd,0.0827,nd,nd,nd,nd,0.0610,77.2470,nd,nd,0.0613,nd,0.1617,nd,0.1327,nd,nd,nd,nd,nd,nd,pXRF,,
202,SEALIP/PH/ILL/5,,1 st millenium BC - 1 st millenium AD,Ille Cave,119.3019,11.1146,,Palawan,Phillippines,ring,nd,nd,nd,nd,nd,nd,nd,nd,0.0077,nd,nd,3.8460,nd,nd,nd,nd,28.5247,67.0093,0.0697,nd,0.2997,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
203,SEALIP/PH/ILL/6,,1 st millenium BC - 1 st millenium AD,Ille Cave,119.3019,11.1146,,Palawan,Phillippines,socket fragment,nd,nd,7.7873,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0193,nd,nd,nd,0.0483,91.8463,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
204,SEALIP/PH/MKM/1,,1 st millenium AD,Makanait Maliit,119.30062,11.11529,,Palawan,Phillippines,ring fragment,nd,nd,nd,nd,nd,nd,nd,nd,0.0197,0.0347,nd,2.1440,nd,nd,nd,nd,29.5720,67.1610,nd,nd,0.7563,nd,0.0457,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
205,SEALIP/PH/NMB/1,,1 st millenium AD,Nakangef Makit,119.2959,11.12881,,Palawan,Phillippines,ring,1.9475,nd,0.7000,nd,nd,nd,nd,nd,nd,nd,nd,0.7000,nd,nd,nd,nd,3.0000,93.5000,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,SEM-EDS,,
206,SEALIP/PH/PSB/1,,1 st millenium AD,Pasimbahan,119.2959 ,11.12881,,Palawan,Phillippines,bangle,nd,0.1433,2.8430,nd,nd,nd,nd,nd,nd,nd,nd,24.9010,nd,nd,nd,nd,2.3240,68.8560,nd,nd,0.3933,nd,0.0450,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
207,SEALIP/PH/SVG/1,Early Metal Age,200 BC - AD 200,Savidug. Batanes,121.887924,20.310948,Jar burial,,Philippines,casting drip,nd,0.0000,5.4913,nd,nd,0.0123,nd,nd,nd,nd,0.0000,0.0000,nd,0.0066,0.0000,nd,0.0000,94.4148,0.0092,0.0061,0.0108,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Oxford EPMA,Metal,
208,SEALIP/PNG/SASI/1,Early Metal Age,0 BC/AD,Sasi. Lou Island,147.310862,-2.443609,Raised beach deposit,Papua New Guinea,Papua New Guinea,br platey frag,nd,0.0382,12.8049,nd,nd,0.0243,nd,nd,nd,nd,nd,0.0931,0.0128,0.0472,0.0766,nd,nd,86.7069,nd,nd,0.0869,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Metal,
209,SEALIP/SL/TSS/1,Kingdom of Ruhuna,AD 100 - 200,Tissamaharama,81.291421,6.279804,,Southern Sri Lanka,Sri Lanka,copper-base vessel,nd,0.0002,3.4000,nd,nd,0.0037,nd,nd,nd,nd,nd,0.0008,nd,0.0081,nd,nd,nd,80.0000,0.0603,0.0041,0.2873,nd,nd,0.0026,0.0016,0.6570,nd,nd,nd,1.1800,nd,,,
210,SEALIP/SL/TSS/2,Kingdom of Ruhuna,AD 100 - 200,Tissamaharama,81.291421,6.279804,,Southern Sri Lanka,Sri Lanka,copper-base vessel,nd,0.0005,18.0000,nd,nd,0.0078,nd,nd,nd,nd,nd,0.0095,nd,0.0106,nd,nd,nd,79.0000,0.2838,0.0924,0.3449,nd,nd,0.0029,0.0021,0.0930,nd,nd,nd,1.1900,nd,,,
